word,rating
suit,6
performance,6
cognition,6
hat,5
disappointment,2
city,6
independence,7
hotel,5
guilt,3
bubble,4
marriage,5
neighborhood,4
adversity,2
crown,5
fisherman,3
peach,4
lion,5
vapor,3
fantasy,6
advice,5
metaphor,4
blade,3
arc,3
lamp,4
square,5
accident,2
attitude,5
material,4
outcome,5
error,2
puddle,3
comparison,4
regulation,3
cowardice,2
engagement,3
site,3
professor,5
mosquito,2
mold,3
irony,4
contempt,2
purpose,5
knife,3
opportunity,5
curfew,3
despair,2
anxiety,2
cloth,3
truck,3
stride,4
three,5
mind,5
sword,3
spider,2
baby,3
inn,4
bullet,2
trumpet,3
costume,4
leopard,5
diversity,6
river,5
duty,5
math,3
bell,4
ceiling,3
blood,3
landscape,5
photograph,4
consideration,4
chief,5
witness,5
insight,5
fear,2
bird,3
butter,3
equality,5
perception,5
availability,4
weather,4
hierarchy,3
toilet,2
principle,5
propeller,3
future,5
riddle,4
promotion,3
annoyance,2
advantage,5
spelling,3
key,3
typewriter,3
sight,4
occasion,3
gun,2
odor,2
ambulance,3
past,3
lane,3
decision,5
volt,3
band,3
ocean,5
sedative,2
rabbit,3
opposition,3
clean,4
boy,3
riot,2
nerve,2
confidence,7
frustration,2
specialist,4
recognition,5
kitten,3
pawn,3
selection,4
mile,3
genuine,6
beetle,3
job,3
towel,3
issue,4
dynasty,3
sandal,3
establishment,4
dagger,3
neck,3
stapler,3
fight,3
lightning,3
lunch,3
second,3
child,3
exclusion,2
description,4
art,5
suggestion,4
development,5
magnitude,5
institute,5
sow,3
alley,3
time,5
honesty,7
produce,4
arrangement,4
bag,3
intention,5
group,4
body,4
rebel,3
midnight,3
drama,3
distraction,2
bracelet,3
proportion,4
horse,3
crime,3
core,3
personality,5
park,4
disaster,2
cocktail,3
suspect,3
philosophy,4
literature,4
limitation,3
magic,4
conscience,5
teacher,5
destiny,5
murder,2
assistance,4
escape,5
affection,5
ability,6
cake,3
football,3
brain,5
psalm,3
fountain,3
imagination,5
state,5
majority,4
tool,3
incentive,4
stranger,3
interaction,4
enemy,3
stick,3
leader,5
competence,5
bedroom,3
cottage,4
pest,2
subtraction,3
lake,3
jacket,3
volume,4
spirit,5
orchestra,4
improvement,4
darkness,2
chicken,3
mileage,3
steam,3
thought,5
criticism,3
reality,5
segment,3
robin,3
student,3
dozen,3
diet,3
rent,3
charity,3
security,4
helplessness,2
sadness,2
sole,3
apple,3
file,3
proof,4
island,3
reflex,3
intelligence,6
accomplishment,5
lettuce,3
physics,3
vocabulary,4
saloon,3
disagreement,3
revenge,3
protection,4
visitor,3
alphabet,3
brevity,4
synagogue,3
wolf,3
shrimp,3
duration,3
lamb,3
circuit,3
cup,3
conclusion,4
want,2
preference,4
grammar,3
reinforcement,3
idiom,3
forest,4
worry,2
branch,3
orchid,3
oven,3
effect,4
salary,3
atom,3
variety,5
beauty,6
assumption,3
republic,4
object,3
belief,4
combination,4
guide,3
factory,3
real,5
effort,4
chocolate,5
flavor,4
composer,3
cucumber,3
hobby,3
empire,3
topic,3
pool,3
ally,3
mercy,4
scent,3
beaver,3
theory,3
drum,3
opinion,4
border,3
nose,3
safety,4
appeal,4
correspondent,3
number,3
tree,4
traveler,4
television,3
refrigerator,3
disgust,2
crisis,2
cause,3
lobster,3
shark,3
temperature,3
satisfaction,4
ditch,2
shame,2
flask,3
supply,3
menu,3
calculation,4
outfit,3
deputy,3
miracle,4
increase,4
lemon,3
attention,4
month,3
rule,3
snow,3
coupon,3
tension,3
phenomenon,3
truth,5
station,3
diamond,4
property,4
aspect,3
kite,3
construction,3
distribution,3
photo,3
paradigm,3
reduction,3
myth,3
punishment,3
brute,2
industry,3
necessity,4
faith,4
loan,3
income,3
summer,3
bed,3
ignorance,2
bolt,3
helmet,3
ceremony,3
paragraph,3
music,4
reason,4
heap,3
addition,3
adventurer,3
hazard,2
justification,3
rhyme,3
betrayal,2
chipmunk,3
sky,3
hurt,2
animal,3
corn,3
mud,3
candy,3
street,3
desk,3
rocket,3
gender,3
possibility,4
foundation,3
woman,3
entrance,3
attempt,3
idea,4
verse,3
grief,2
entree,3
wave,3
permission,4
fallacy,2
wisdom,6
expression,4
territory,4
abundance,5
infection,2
method,4
charter,3
volcano,3
deceit,2
grass,3
moment,3
ignition,3
thief,2
holiday,3
peace,5
introduction,3
fat,2
economy,3
roof,3
palace,3
scene,3
hurricane,2
camera,3
regret,2
boat,3
identification,3
preparation,3
starch,3
definition,4
evidence,4
distance,3
tennis,3
benefactor,4
nation,4
grandmother,4
resort,3
occupation,3
immortality,4
bridge,3
burner,3
claim,3
friendship,4
