word,rating
coffin,1
month,1
leader,1
duty,1
incident,1
pill,1
pawn,1
mosquito,1
orchid,1
parish,1
lettuce,1
wallet,1
example,1
payment,1
separation,1
ocean,1
perception,1
key,1
contempt,1
road,1
bell,1
competence,1
hog,1
principle,1
philosophy,1
regret,1
moonlight,1
butter,1
accident,1
bandit,1
guilt,1
specimen,1
flask,1
subtraction,1
zoo,1
nerve,1
adventurer,1
fantasy,1
object,1
contract,1
art,1
personality,1
grandmother,1
behavior,1
helmet,1
midnight,1
helplessness,1
fountain,1
loan,1
permission,1
worry,1
mountain,1
calculation,1
laughter,1
play,1
inn,1
costume,1
heart,1
theory,1
visitor,1
idea,1
announcement,1
income,1
arrow,1
irrigation,1
abundance,1
wage,1
uncertainty,1
horse,1
cat,1
guide,1
distribution,1
drum,1
fate,1
tongue,1
moment,1
opportunity,1
itch,1
difference,1
cause,1
leopard,1
infection,1
territory,1
dimension,1
fog,1
fireplace,1
time,1
teacher,1
occasion,1
occupation,1
core,1
silence,1
vocabulary,1
ankle,1
riot,1
skull,1
bed,1
variety,1
file,1
consideration,1
rainbow,1
measure,1
sugar,1
envy,1
baby,1
linen,1
enemy,1
three,1
mile,1
opinion,1
food,1
impairment,1
beauty,1
performance,1
ambulance,1
punishment,1
starch,1
salary,1
selection,1
significance,1
corpse,1
metaphor,1
cup,1
job,1
response,1
description,1
tradition,1
rule,1
hurricane,1
assumption,1
economy,1
degree,1
appeal,1
lion,1
skunk,1
stranger,1
march,1
proof,1
member,1
eagle,1
suit,1
shape,1
disaster,1
clothing,1
uncle,1
produce,1
unit,1
importance,1
accomplishment,1
empty,1
awareness,1
capacity,1
neck,1
standard,1
ambition,1
propeller,1
cake,1
evidence,1
tennis,1
physics,1
honesty,1
odor,1
landscape,1
lamp,1
circuit,1
injury,1
gorilla,1
master,1
university,1
pigeon,1
hospital,1
shirt,1
bank,1
camera,1
sanctuary,1
pest,1
comparison,1
kindness,1
category,1
recognition,1
obstruction,1
rocket,1
ball,1
circumstance,1
mold,1
writing,1
banana,1
idiom,1
marriage,1
cloth,1
pile,1
comprehension,1
branch,1
edge,1
incentive,1
expression,1
combination,1
jewel,1
rabbit,1
origin,1
requirement,1
mankind,1
microscope,1
view,1
professor,1
typewriter,1
ceiling,1
purpose,1
ditch,1
wave,1
policeman,1
season,1
guess,1
summer,1
margin,1
complication,1
establishment,1
betrayal,1
towel,1
math,1
hat,1
fabric,1
name,1
refrigerator,1
segment,1
conference,1
tendency,1
specialist,1
drama,1
boulder,1
property,1
division,1
site,1
fallacy,1
meeting,1
coupon,1
television,1
mastery,1
identification,1
promotion,1
moral,1
correspondent,1
individual,1
brawl,1
soul,1
retention,1
dagger,1
instance,1
impossibility,1
lightning,1
pig,1
quality,1
corn,1
bullet,1
truth,1
state,1
assault,1
entrance,1
amount,1
friendship,1
macaroni,1
topic,1
border,1
clearance,1
determination,1
route,1
puddle,1
thing,1
arc,1
sky,1
tree,1
student,1
tip,1
presence,1
self,1
autumn,1
love,1
peace,1
episode,1
conscience,1
sight,1
length,1
caterpillar,1
tool,1
body,1
latch,1
cow,1
spirit,1
roof,1
charter,1
reputation,1
lesson,1
fisherman,1
tallness,1
dozen,1
boredom,1
salad,1
magic,1
acre,1
palace,1
ring,1
stride,1
money,1
butterfly,1
equality,1
anger,1
pretense,1
justice,1
unity,1
engagement,1
industry,1
sister,1
calendar,1
attempt,1
mystery,1
criticism,1
phenomenon,1
beast,1
river,1
alley,1
chance,1
atrocity,1
laundry,1
uniform,1
translation,1
entree,1
riddle,1
father,1
outfit,1
blood,1
danger,1
fifteen,1
beverage,1
heap,1
liar,1
mind,1
pond,1
shortness,1
tune,1
boundary,1
thorn,1
mileage,1
vapor,1
toilet,1
sneeze,1
synagogue,1
rhyme,1
gesture,1
island,1
leadership,1
disgust,1
democracy,1
shrimp,1
woman,1
sword,1
majority,1
shock,1
ability,1
lane,1
responsibility,1
alligator,1
supply,1
child,1
crown,1
anxiety,1
intelligence,1
kitten,1
holiday,1
waste,1
mud,1
factory,1
opposition,1
winter,1
grammar,1
peacemaker,1
hatred,1
reduction,1
stupidity,1
belief,1
missile,1
instructor,1
assistance,1
jacket,1
park,1
genuine,1
law,1
republic,1
denial,1
puppy,1
story,1
consistency,1
acquisition,1
stapler,1
event,1
duel,1
claim,1
reality,1
hierarchy,1
victim,1
mustard,1
ceremony,1
character,1
skin,1
poll,1
nation,1
drug,1
spider,1
lily,1
bet,1
owner,1
manner,1
amplitude,1
cowardice,1
nose,1
darkness,1
ignition,1
inch,1
scholar,1
fat,1
empire,1
brother,1
beetle,1
reason,1
charity,1
bolt,1
definition,1
crime,1
flavor,1
pie,1
speech,1
lamb,1
miracle,1
decision,1
line,1
bird,1
opera,1
grief,1
bridge,1
despair,1
handkerchief,1
lobster,1
mother,1
limitation,1
traveler,1
underworld,1
disappointment,1
iron,1
fact,1
development,1
photograph,1
artist,1
explanation,1
freedom,1
preparation,1
raspberry,1
gender,1
want,1
lisp,1
loafer,1
intention,1
twig,1
photo,1
effort,1
tomato,1
record,1
bubble,1
future,1
instinct,1
necklace,1
hope,1
attitude,1
pimple,1
possibility,1
lock,1
music,1
window,1
sow,1
ignorance,1
regulation,1
knowledge,1
shame,1
apple,1
car,1
shark,1
lemon,1
steam,1
number,1
hotel,1
proportion,1
duration,1
diversity,1
safety,1
benefactor,1
band,1
dynasty,1
show,1
football,1
germ,1
reflex,1
brevity,1
heresy,1
weather,1
coffee,1
result,1
lens,1
atom,1
skill,1
method,1
desk,1
cottage,1
rebel,1
apology,1
witness,1
verse,1
boat,1
myth,1
wisdom,1
smell,1
jerk,1
eight,1
cranberry,1
medicine,1
diamond,1
corporation,1
emergence,1
church,1
disagreement,1
pool,1
snake,1
conclusion,1
robin,1
interruption,1
volume,1
introduction,1
dove,1
risk,1
affection,1
alphabet,1
construction,1
irony,1
duck,1
cliff,1
resort,1
hazard,1
murder,1
neighborhood,1
foundation,1
frog,1
recital,1
design,1
onion,1
beaver,1
newspaper,1
fight,1
independence,1
diet,1
protection,1
elephant,1
cognition,1
convergence,2
insight,2
error,1
deputy,1
volt,1
chipmunk,1
effect,2
context,3
stick,1
interior,2
burner,1
bag,1
opponent,1
tragedy,1
production,2
revenge,3
sedative,1
thief,1
potato,2
memory,2
animal,1
damage,1
boy,1
truck,1
reinforcement,3
literature,1
wish,1
material,1
donor,1
eyeball,1
originality,2
robbery,3
bottle,1
lunch,1
cucumber,1
queen,2
necessity,3
extent,3
group,1
immortality,2
street,3
distance,3
temperature,2
snow,1
doctor,1
chief,1
real,2
knife,1
electricity,2
size,2
appointment,2
interaction,3
aspect,1
trust,2
sandal,1
identity,2
logic,1
coincidence,1
attention,2
stimulus,2
malice,1
past,1
bedroom,2
talent,1
distraction,2
peach,1
addition,2
door,1
station,1
ally,1
scene,1
hurt,1
relief,3
saloon,3
water,3
consequence,3
frustration,2
ownership,3
grass,1
value,3
availability,2
temple,1
lip,1
message,2
confidence,2
paragraph,1
christmas,2
suggestion,2
dad,1
crisis,1
location,7
girl,1
chicken,1
hobby,1
dentist,1
preference,2
oven,1
prediction,2
second,2
brute,1
forest,2
wood,1
misery,1
radio,1
volcano,3
candidate,1
item,1
arrangement,3
escape,2
lizard,2
magnitude,2
wolf,2
satisfaction,3
thought,2
kite,1
imagination,3
paradigm,1
form,1
outcome,2
square,2
chair,1
ballot,1
orchestra,1
composer,1
menu,1
clean,2
accumulation,2
willingness,3
grasshopper,1
blade,1
debt,1
information,3
adversity,1
tension,2
issue,1
improvement,2
curfew,2
cocktail,1
destiny,2
sofa,1
chocolate,2
institute,1
integrity,2
gun,1
candy,1
advantage,2
deceit,1
psalm,1
article,1
lake,2
suspect,1
chlorine,1
nurse,1
exception,1
advice,1
mattress,1
spelling,2
justification,2
annoyance,1
vision,2
sole,2
brain,1
tide,2
bracelet,1
pillow,1
security,3
tax,1
prop,1
mercy,1
faith,1
legality,1
exclusion,1
scent,1
pyramid,2
crocodile,1
increase,2
city,2
weight,1
replacement,2
poetry,2
trumpet,1
mansion,3
rent,1
dilemma,1
sadness,1
squeak,1
fear,1
deduction,2
youth,1
figure,1
admiration,2
situation,3
